ID,MS_SubClass,MS_Zoning,Lot_Area,Bldg_Type,House_Style,Year_Built,Roof_Matl,Exterior_1st,Mas_Vnr_Type,Foundation,Total_Bsmt_SF,Bsmt_Fin_Pct,Heating,Central_Air,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Garage_Type,Garage_Cars,Garage_Area,Fireplaces,Pool_Area,Mo_Sold,Year_Sold,Sale_Type,Sale_Price
45,Two_Story_1946_and_Newer,RL,13751,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1700,0,GasA,Y,2212,0,0,2,1,3,9,Attchd,3,773,1,0,5,2006,New,309000
46,Two_Story_1946_and_Newer,RL,23257,1FamDet,2-Story,2006,CompShg,VinylSd,None,PConc,868,0,GasA,Y,2021,0,0,2,1,3,9,BuiltIn,2,422,1,0,9,2006,New,274725
47,Two_Story_1946_and_Newer,RL,13869,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,794,22.9,GasA,Y,1470,0,1,2,0,3,6,Attchd,2,388,0,0,7,2007,WRD,177000
48,Split_or_Multilevel,RL,8872,1FamDet,S/Level,1997,CompShg,VinylSd,None,PConc,384,0,GasA,Y,1384,0,0,2,1,3,7,BuiltIn,2,390,1,0,3,2007,WRD,161500
49,One_Story_PUD_1946_and_Newer,F-PRD,4923,Twnhs-E,1-Story,2001,CompShg,CemntBd,None,PConc,1593,72.3,GasA,Y,1593,1,0,1,1,0,5,Attchd,2,682,1,0,8,2008,WRD,286000
50,One_Story_PUD_1946_and_Newer,RL,4923,Twnhs-E,1-Story,2001,CompShg,CemntBd,None,PConc,1593,72.3,GasA,Y,1593,1,0,1,1,0,5,Attchd,2,682,1,0,8,2008,WRD,286000
51,One_Story_PUD_1946_and_Newer,F-PRD,4920,Twnhs-E,1-Story,2001,CompShg,CemntBd,None,PConc,1338,46,GasA,Y,1338,1,0,2,0,2,6,Attchd,2,582,0,0,4,2010,WRD,213500
52,One_Story_PUD_1946_and_Newer,F-PRD,6264,1FamDet,1-Story,1997,CompShg,CemntBd,None,PConc,1664,39.4,GasA,Y,1682,1,0,1,1,1,6,Attchd,2,528,1,0,7,2008,WRD,247900
53,One_Story_PUD_1946_and_Newer,RL,6264,1FamDet,1-Story,1997,CompShg,CemntBd,None,PConc,1664,39.4,GasA,Y,1682,1,0,1,1,1,6,Attchd,2,528,1,0,7,2008,WRD,247900
54,One_Story_PUD_1946_and_Newer,F-PRD,5395,Twnhs-E,1-Story,1993,CompShg,HdBoard,None,PConc,1337,54.8,GasA,Y,1337,1,0,2,0,2,5,Attchd,2,462,1,0,10,2008,WRD,180000
55,One_Story_PUD_1946_and_Newer,RL,5395,Twnhs-E,1-Story,1993,CompShg,HdBoard,None,PConc,1337,54.8,GasA,Y,1337,1,0,2,0,2,5,Attchd,2,462,1,0,10,2008,WRD,180000
56,One_Story_PUD_1946_and_Newer,F-PRD,5070,Twnhs-E,1-Story,1992,CompShg,HdBoard,None,PConc,1280,0,GasA,Y,1280,0,0,2,0,2,5,Attchd,2,506,0,0,8,2008,WRD,180000
57,One_Story_PUD_1946_and_Newer,RL,5070,Twnhs-E,1-Story,1992,CompShg,HdBoard,None,PConc,1280,0,GasA,Y,1280,0,0,2,0,2,5,Attchd,2,506,0,0,8,2008,WRD,180000
58,One_Story_PUD_1946_and_Newer,F-PRD,5389,Twnhs-E,1-Story,1995,CompShg,CemntBd,None,PConc,1595,73.9,GasA,Y,1616,1,0,2,0,2,5,Attchd,2,608,1,0,3,2010,WRD,236500
59,Two_Story_PUD_1946_and_Newer,F-PRD,13108,1FamDet,2-Story,1994,CompShg,CemntBd,None,PConc,2062,0,GasA,Y,2687,0,0,2,1,4,9,Attchd,2,618,0,0,12,2006,WRD,270000
60,One_Story_1946_and_Newer_All_Styles,RL,8076,1FamDet,1-Story,1993,CompShg,HdBoard,BrkFace,PConc,1160,60.7,GasA,Y,1169,0,1,2,0,3,6,Attchd,2,402,1,0,7,2006,WRD,183500
61,Split_or_Multilevel,RL,10147,1FamDet,S/Level,1994,CompShg,HdBoard,BrkFace,PConc,392,47.4,GasA,Y,1694,0,0,2,1,3,7,BuiltIn,2,398,1,0,3,2007,WRD,160000
62,Two_Story_1946_and_Newer,RL,10839,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,926,0,GasA,Y,1604,0,0,2,1,3,7,Attchd,2,470,1,0,7,2008,WRD,181000
63,Two_Story_1946_and_Newer,RL,10839,1FamDet,2-Story,1997,CompShg,VinylSd,None,PConc,926,0,GasA,Y,1604,0,0,2,1,3,7,Attchd,2,470,1,0,7,2008,WRD,181000
64,One_Story_1946_and_Newer_All_Styles,RL,7875,1FamDet,1-Story,1995,CompShg,HdBoard,BrkFace,PConc,1237,0,GasA,Y,1253,0,0,2,0,3,6,Attchd,2,402,1,0,6,2007,WRD,176000
65,Two_Story_1946_and_Newer,RL,7500,1FamDet,2-Story,1999,CompShg,VinylSd,None,PConc,994,0,GasA,Y,1804,0,0,2,1,3,7,Attchd,2,442,1,0,6,2010,WRD,189000
66,Two_Story_1946_and_Newer,RL,10000,1FamDet,2-Story,1993,CompShg,HdBoard,None,PConc,763,0,GasA,Y,1655,0,0,2,1,3,7,Attchd,2,440,1,0,4,2010,WRD,175900
67,Two_Story_1946_and_Newer,RL,7685,1FamDet,2-Story,1993,CompShg,HdBoard,BrkFace,PConc,697,74.3,GasA,Y,1501,0,0,2,1,3,6,Attchd,2,420,1,0,5,2006,WRD,165600
68,Two_Story_1946_and_Newer,RL,8000,1FamDet,2-Story,1995,CompShg,HdBoard,None,PConc,773,28.3,GasA,Y,1658,1,0,2,1,3,8,Attchd,2,431,1,0,6,2008,WRD,188000
69,Two_Story_1946_and_Newer,RL,8000,1FamDet,2-Story,1995,CompShg,HdBoard,None,PConc,773,28.3,GasA,Y,1658,1,0,2,1,3,8,Attchd,2,431,1,0,6,2008,WRD,188000
70,Two_Story_1946_and_Newer,RL,10832,1FamDet,2-Story,1994,CompShg,MetalSd,None,PConc,712,0,GasA,Y,1895,0,0,2,1,3,7,Attchd,2,409,1,0,10,2008,WRD,194500
71,Two_Story_1946_and_Newer,RL,10832,1FamDet,2-Story,1994,CompShg,MetalSd,None,PConc,712,0,GasA,Y,1895,0,0,2,1,3,7,Attchd,2,409,1,0,10,2008,WRD,194500
72,Two_Story_1946_and_Newer,RL,14067,1FamDet,2-Story,1991,CompShg,HdBoard,BrkFace,PConc,836,60.2,GasA,Y,1709,1,0,2,1,3,7,Attchd,2,416,0,0,9,2008,WRD,185000
73,Two_Story_1946_and_Newer,RL,14067,1FamDet,2-Story,1991,CompShg,HdBoard,BrkFace,PConc,836,60.2,GasA,Y,1709,1,0,2,1,3,7,Attchd,2,416,0,0,9,2008,WRD,185000
74,Split_or_Multilevel,RL,10784,1FamDet,S/Level,1991,CompShg,HdBoard,BrkFace,PConc,384,0,GasA,Y,1472,0,0,2,1,3,7,Attchd,2,402,1,0,5,2007,WRD,160000
75,Split_or_Multilevel,RL,9125,1FamDet,S/Level,1992,CompShg,HdBoard,BrkFace,PConc,384,0,GasA,Y,1482,0,0,2,1,3,7,Attchd,2,392,1,0,7,2007,WRD,163900
76,Two_Story_1946_and_Newer,RL,7655,1FamDet,2-Story,1993,CompShg,HdBoard,None,PConc,903,0,GasA,Y,1642,0,0,2,1,3,7,Attchd,2,392,1,0,7,2007,WRD,168000
77,One_Story_1946_and_Newer_All_Styles,RL,7980,1FamDet,1-Story,1992,CompShg,HdBoard,None,PConc,1168,80,GasA,Y,1187,1,0,2,0,3,6,Attchd,2,420,0,0,3,2010,WRD,185000
78,Two_Story_1946_and_Newer,RL,9084,1FamDet,2-Story,1998,CompShg,VinylSd,None,PConc,935,0,GasA,Y,1632,0,0,2,1,3,8,Attchd,2,462,1,0,6,2006,WRD,176500
79,Two_Story_1946_and_Newer,RL,8402,1FamDet,2-Story,1998,CompShg,VinylSd,None,PConc,789,0,GasA,Y,1465,0,0,2,1,3,7,Attchd,2,393,1,0,5,2010,WRD,180400
80,One_Story_1946_and_Newer_All_Styles,RL,18160,1FamDet,1-Story,1964,CompShg,HdBoard,BrkCmn,CBlock,1302,42.2,GasA,Y,1128,1,0,1,0,3,6,Attchd,2,480,1,0,3,2007,WRD,154204
81,One_Story_1946_and_Newer_All_Styles,F-PRD,10176,1FamDet,1-Story,1990,CompShg,HdBoard,None,PConc,1300,49,GasA,Y,1341,1,0,1,1,2,5,Attchd,2,506,1,0,2,2010,WRD,171500
82,One_Story_PUD_1946_and_Newer,F-PRD,3701,Twnhs-E,1-Story,1987,CompShg,HdBoard,None,CBlock,1191,0,GasA,Y,1204,0,0,2,0,2,5,Attchd,2,461,0,0,8,2006,WRD,130000
83,One_Story_PUD_1946_and_Newer,F-PRD,6820,Twnhs-E,1-Story,1985,CompShg,HdBoard,None,PConc,1488,100,GasA,Y,1502,1,0,1,1,1,4,Attchd,2,528,0,0,6,2010,COD,212000
84,One_Story_PUD_1946_and_Newer,F-PRD,4671,Twnhs-E,1-Story,1988,CompShg,HdBoard,None,PConc,1228,62.4,GasA,Y,1228,1,0,2,0,2,5,Attchd,2,472,1,0,10,2008,WRD,189000
85,One_Story_PUD_1946_and_Newer,RL,4671,Twnhs-E,1-Story,1988,CompShg,HdBoard,None,PConc,1228,62.4,GasA,Y,1228,1,0,2,0,2,5,Attchd,2,472,1,0,10,2008,WRD,189000
86,One_Story_PUD_1946_and_Newer,F-PRD,5950,Twnhs-E,1-Story,1989,CompShg,HdBoard,None,PConc,1337,23.8,GasA,Y,1337,1,0,2,0,2,5,Attchd,2,462,1,0,4,2008,WRD,188500
87,One_Story_PUD_1946_and_Newer,RL,5950,Twnhs-E,1-Story,1989,CompShg,HdBoard,None,PConc,1337,23.8,GasA,Y,1337,1,0,2,0,2,5,Attchd,2,462,1,0,4,2008,WRD,188500
88,Two_Story_PUD_1946_and_Newer,F-PRD,5306,Twnhs-E,2-Story,1987,CompShg,HdBoard,None,PConc,1064,66.7,GasA,Y,1767,1,0,2,0,2,5,Attchd,2,504,1,0,6,2006,WRD,239000
89,One_Story_PUD_1946_and_Newer,F-PRD,6563,1FamDet,1-Story,1985,CompShg,HdBoard,None,PConc,1742,65.9,GasA,Y,1742,1,0,2,0,2,5,Attchd,2,564,1,0,12,2006,WRD,275000
90,Two_Story_1946_and_Newer,FS-RL,13543,1FamDet,2-Story,2005,CompShg,VinylSd,Stone,PConc,1168,1.36,GasA,Y,2500,0,0,3,1,5,9,BuiltIn,3,683,1,0,7,2008,WRD,355000
91,Two_Story_1946_and_Newer,RL,13543,1FamDet,2-Story,2005,CompShg,VinylSd,Stone,PConc,1168,1.36,GasA,Y,2500,0,0,3,1,5,9,BuiltIn,3,683,1,0,7,2008,WRD,355000
92,Two_Story_1946_and_Newer,FS-RL,16023,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1398,0,GasA,Y,2798,0,0,3,1,3,11,BuiltIn,3,670,1,0,3,2006,New,457347
93,Two_Story_1946_and_Newer,RL,16023,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1398,0,GasA,Y,2798,0,0,3,1,3,11,BuiltIn,3,670,1,0,3,2006,New,457347
94,Two_Story_1946_and_Newer,FS-RL,18062,1FamDet,2-Story,2006,CompShg,CemntBd,BrkFace,PConc,1528,0,GasA,Y,3390,0,0,3,1,5,10,BuiltIn,3,758,1,0,9,2006,New,545224
95,Two_Story_1946_and_Newer,FS-RL,12292,1FamDet,2-Story,2006,CompShg,VinylSd,BrkFace,PConc,1094,18.7,GasA,Y,2473,0,0,2,1,4,11,BuiltIn,3,675,1,0,7,2006,New,356383
96,Two_Story_1946_and_Newer,FS-RL,16056,1FamDet,2-Story,2005,CompShg,CemntBd,Stone,PConc,1992,0,GasA,Y,2868,0,0,3,1,4,11,BuiltIn,3,716,1,0,7,2006,New,556581
97,Two_Story_1946_and_Newer,FS-RL,16056,1FamDet,2-Story,2005,CompShg,CemntBd,Stone,PConc,1992,12,GasA,Y,2868,0,0,3,1,4,11,BuiltIn,3,716,1,0,7,2006,New,556581
98,Two_Story_1946_and_Newer,FS-RL,12438,1FamDet,2-Story,2006,CompShg,VinylSd,BrkFace,PConc,2468,50,GasA,Y,2576,0,0,2,1,4,10,BuiltIn,3,666,1,0,7,2006,New,361919
99,Two_Story_1946_and_Newer,FS-RL,12438,1FamDet,2-Story,2006,CompShg,VinylSd,BrkFace,PConc,1234,0,GasA,Y,2576,0,0,2,1,4,10,BuiltIn,3,666,1,0,7,2006,New,361919
100,Two_Story_1946_and_Newer,FS-RL,11198,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1122,0,GasA,Y,2504,0,0,2,1,4,11,BuiltIn,3,656,1,0,6,2008,WRD,325000
101,Two_Story_1946_and_Newer,RL,11198,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1122,0,GasA,Y,2504,0,0,2,1,4,11,BuiltIn,3,656,1,0,6,2008,WRD,325000
102,One_Story_1946_and_Newer_All_Styles,FS-RL,15401,1FamDet,1-Story,2004,CompShg,VinylSd,BrkFace,PConc,1884,70.9,GasA,Y,1884,1,0,2,0,2,7,Attchd,3,670,1,0,9,2008,WRD,387000
103,One_Story_1946_and_Newer_All_Styles,RL,15401,1FamDet,1-Story,2004,CompShg,VinylSd,BrkFace,PConc,1884,70.9,GasA,Y,1884,1,0,2,0,2,7,Attchd,3,670,1,0,9,2008,WRD,387000
104,Two_Story_1946_and_Newer,FS-RL,16052,1FamDet,1-Story,2006,CompShg,VinylSd,Stone,PConc,1850,65.1,GasA,Y,2698,1,0,2,1,4,11,Attchd,3,736,1,0,7,2006,New,535000
105,Two_Story_1946_and_Newer,FS-RL,16052,1FamDet,1-Story,2006,CompShg,VinylSd,Stone,PConc,1850,65.1,GasA,Y,2698,1,0,2,1,4,11,Attchd,3,736,0,0,7,2006,New,535000
106,Two_Story_1946_and_Newer,FS-RL,15922,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1390,0,GasA,Y,2795,0,0,3,1,4,10,BuiltIn,3,660,1,0,1,2006,New,401179
107,Two_Story_1946_and_Newer,RL,15922,1FamDet,2-Story,2005,CompShg,VinylSd,BrkFace,PConc,1390,0,GasA,Y,2795,0,0,3,1,4,10,BuiltIn,3,660,1,0,1,2006,New,401179
108,Two_Story_1946_and_Newer,FS-RL,13682,1FamDet,2-Story,2006,CompShg,VinylSd,BrkFace,PConc,1410,0,GasA,Y,2945,0,0,3,1,3,10,BuiltIn,3,641,1,0,10,2006,New,438780
109,Two_Story_1946_and_Newer,FS-RL,53504,1FamDet,2-Story,2003,CompShg,CemntBd,BrkFace,PConc,1650,85.8,GasA,Y,3279,1,0,3,1,4,12,BuiltIn,3,841,1,0,6,2010,WRD,538000
110,One_Story_1946_and_Newer_All_Styles,FS-RL,51974,1FamDet,1-Story,2006,CompShg,VinylSd,BrkFace,PConc,2660,41.3,GasA,Y,2338,1,0,2,1,4,8,Attchd,3,1110,2,0,6,2007,New,591587
111,One_and_Half_Story_Finished_All_Ages,RL,12134,1FamDet,1.5 Fin,1988,CompShg,Wd Sdng,None,Wood,559,76.3,GasA,Y,1752,0,0,2,0,4,8,Basment,2,492,0,0,6,2010,WRD,164000
112,Two_Story_1946_and_Newer,RL,14762,1FamDet,2-Story,1948,CompShg,Plywood,None,Slab,0,0,GasA,Y,2320,0,0,2,0,2,7,Attchd,2,672,1,0,5,2006,WRD,169000
113,One_Story_1946_and_Newer_All_Styles,RL,31220,1FamDet,1-Story,1952,CompShg,BrkFace,None,CBlock,1632,0,GasA,Y,1474,0,0,1,0,3,7,Attchd,2,495,2,0,5,2008,WRD,115000
114,One_Story_1946_and_Newer_All_Styles,RL,31220,1FamDet,1-Story,1952,CompShg,BrkFace,None,CBlock,1632,0,GasA,Y,1474,0,0,1,0,3,7,Attchd,2,495,2,0,5,2008,WRD,115000
115,Two_Family_conversion_All_Styles_and_Ages,RL,34650,2FmConv,1-Story,1955,CompShg,Wd Sdng,None,CBlock,1056,100,GasA,N,1056,1,0,1,0,3,5,Attchd,2,572,0,0,1,2006,WRD,145000
116,One_Story_PUD_1946_and_Newer,FS-RL,8035,Twnhs-E,1-Story,2006,CompShg,MetalSd,BrkFace,PConc,1612,49.4,GasA,Y,1612,1,0,2,0,2,6,Attchd,2,556,1,0,3,2007,WRD,319900
117,One_Story_PUD_1946_and_Newer,FS-RL,8147,Twnhs-E,1-Story,2005,CompShg,MetalSd,BrkFace,PConc,1714,69.4,GasA,Y,1714,1,0,2,0,2,7,Attchd,2,517,1,0,8,2006,WRD,318000
118,One_Story_1946_and_Newer_All_Styles,FS-RL,11302,1FamDet,1-Story,2005,CompShg,VinylSd,BrkFace,PConc,1814,78.3,GasA,Y,1826,1,0,2,0,3,7,Attchd,3,758,1,0,8,2006,New,319000
119,One_Story_1946_and_Newer_All_Styles,FS-RL,14082,1FamDet,1-Story,2006,CompShg,VinylSd,BrkFace,PConc,2220,70.1,GasA,Y,2234,1,0,1,1,1,7,Attchd,2,724,1,0,1,2007,WRD,441929
120,One_Story_1946_and_Newer_All_Styles,FS-RL,18261,1FamDet,1-Story,2005,CompShg,VinylSd,BrkFace,PConc,1910,74.1,GasA,Y,2000,1,0,2,1,3,8,Attchd,3,722,2,0,9,2006,WRD,470000
